date,open,high,low,close,volume
2020-05-27,79.3,80.25,78.26,79.5,25482
2020-05-28,79.5,80.84,78.61,79.8,24719
2020-05-29,79.8,80.29,79.11,79.76,27927
2020-06-01,79.77,80.57,78.71,80.46,18597
2020-06-02,80.47,81.0,79.72,80.78,20480
2020-06-03,80.76,81.44,80.56,81.17,19348
2020-06-04,81.14,81.39,80.19,80.65,21488
2020-06-05,80.65,82.92,80.31,82.76,23855
2020-06-08,82.76,83.33,81.83,83.25,19359
2020-06-09,83.33,86.38,82.25,85.83,23547
2020-06-10,85.79,88.67,85.79,88.18,30230
2020-06-11,88.18,88.29,83.9,84.25,35350
2020-06-12,84.25,86.94,83.54,84.61,36467
2020-06-15,84.5,86.18,82.5,85.93,30863
2020-06-16,85.93,88.28,85.67,88.02,32031
2020-06-17,88.0,88.99,87.52,87.99,26331
2020-06-18,87.99,88.34,87.29,87.85,24144
2020-06-19,87.81,89.13,86.29,86.92,28541
2020-06-22,86.89,90.03,86.89,89.97,24119
2020-06-23,89.97,93.07,89.77,91.56,27285
2020-06-24,91.56,92.17,89.62,90.11,32379
2020-06-25,90.02,91.23,89.0,91.13,28382
2020-06-26,91.13,91.48,88.41,88.44,30063
2020-06-29,88.43,90.7,87.81,90.65,21675
2020-06-30,90.53,91.45,89.53,91.19,20793
2020-07-01,91.19,91.83,90.5,90.91,20625
2020-07-02,90.91,92.61,90.88,91.18,20673
2020-07-03,91.21,91.25,91.13,91.2,90
2020-07-06,91.2,93.92,91.2,93.43,20409
2020-07-07,93.42,94.63,92.82,93.32,23853
2020-07-08,93.32,95.43,93.18,95.42,22412
2020-07-09,95.45,96.33,94.66,95.65,23996
2020-07-10,95.64,96.0,94.7,95.96,18710
2020-07-13,95.95,99.93,95.25,95.55,26173
2020-07-14,95.5,97.04,93.87,96.92,29532
2020-07-15,96.89,99.43,96.49,97.72,26607
2020-07-16,97.71,97.8,95.75,96.03,23171
2020-07-17,96.03,97.13,95.83,96.25,17455
2020-07-20,95.67,98.37,95.55,98.31,17794
2020-07-21,98.33,99.5,96.98,97.09,22752
2020-07-22,97.06,97.96,96.37,97.15,20475
2020-07-23,97.13,97.88,91.99,92.63,25020
2020-07-24,92.7,93.18,89.23,92.65,30328
2020-07-27,92.67,94.97,92.67,94.96,21475
2020-07-28,94.93,95.26,93.25,93.36,21937
2020-07-29,93.33,95.5,93.24,95.33,21160
2020-07-30,95.33,101.87,93.57,100.8,26556
2020-07-31,100.65,106.68,96.22,106.53,43104
2020-08-03,106.55,111.6,106.55,108.89,23447
2020-08-04,108.86,110.75,108.25,109.64,19460
2020-08-05,109.64,110.73,108.88,109.81,19785
2020-08-06,109.98,114.38,109.5,113.88,17783
2020-08-07,113.91,114.25,110.28,111.21,23966
2020-08-10,111.25,113.76,109.99,112.71,28784
2020-08-11,112.62,113.51,109.3,109.8,29575
2020-08-12,109.9,113.26,109.41,112.99,27335
2020-08-13,112.96,116.01,112.45,114.96,27642
2020-08-14,114.95,115.36,113.04,114.78,24076
2020-08-17,114.78,116.1,113.96,114.61,18595
2020-08-18,114.61,115.99,113.99,115.61,20823
2020-08-19,115.58,117.14,115.45,115.94,23533
2020-08-20,115.95,118.65,115.0,118.63,22647
2020-08-21,118.6,124.84,118.29,124.62,30885
2020-08-24,124.67,128.81,123.91,126.13,27430
2020-08-25,126.13,126.91,123.06,124.93,26819
2020-08-26,124.93,126.98,124.59,126.65,25005
2020-08-27,126.69,127.46,123.82,125.08,25831
2020-08-28,125.03,126.41,124.56,126.08,23938
2020-08-30,124.86,124.86,124.86,124.86,255
2020-08-31,126.75,130.94,125.01,129.02,24239
2020-09-01,129.02,134.74,128.9,134.41,27920
2020-09-02,134.39,138.5,126.97,131.41,29038
2020-09-03,131.34,132.16,120.1,121.3,38970
2020-09-04,121.47,123.64,110.97,121.16,44887
2020-09-08,120.08,120.39,112.23,113.1,29576
2020-09-09,113.05,119.1,110.57,116.94,21720
2020-09-10,116.91,120.59,112.46,113.67,24046
2020-09-11,113.71,116.34,110.0,111.94,21724
2020-09-14,114.15,115.92,112.78,115.62,15700
2020-09-15,115.52,118.86,113.59,115.33,16558
2020-09-16,115.29,116.6,112.0,112.55,18407
2020-09-17,112.52,112.78,108.65,110.2,21871
2020-09-18,110.15,111.81,106.07,107.82,18911
2020-09-21,105.22,110.54,103.11,110.12,21298
2020-09-22,110.1,112.8,109.13,111.46,18224
2020-09-23,111.48,112.5,106.76,106.79,19083
2020-09-24,106.84,110.17,104.79,108.72,22113
2020-09-25,108.44,112.26,107.19,112.18,18627
2020-09-28,113.5,115.48,112.76,115.15,21956
2020-09-29,115.18,115.49,113.55,114.06,23256
2020-09-30,114.0,117.2,112.5,115.2,23892
2020-10-01,115.2,118.05,115.2,116.75,24499
2020-10-02,116.75,117.06,112.24,113.66,29234
2020-10-05,113.68,116.52,113.39,116.38,16084
2020-10-06,116.38,116.59,112.22,112.36,23795
2020-10-07,112.44,115.42,112.43,114.99,21563
2020-10-08,114.92,116.44,114.56,115.05,17716
2020-10-09,115.05,116.59,114.92,116.54,15097
2020-10-12,117.5,125.12,117.5,124.58,23238
2020-10-13,124.54,127.3,119.71,120.74,34882
2020-10-14,120.78,123.0,119.6,120.71,27130
2020-10-15,120.76,121.18,116.62,120.62,26133
2020-10-16,120.63,122.05,119.26,119.55,19242
2020-10-19,119.92,121.05,116.05,116.72,14293
2020-10-20,116.73,118.94,115.62,117.05,15274
2020-10-21,117.05,118.66,116.5,116.88,14777
2020-10-22,116.88,118.01,114.64,115.82,15820
2020-10-23,115.77,116.65,112.86,114.78,14028
2020-10-26,115.0,116.51,112.85,115.14,25485
2020-10-27,115.14,117.24,114.52,116.11,25488
2020-10-28,116.05,116.56,111.29,111.75,31154
2020-10-29,111.7,116.88,109.2,110.31,32557
2020-10-30,110.43,114.74,107.69,108.05,38828
2020-11-02,109.1,110.66,107.29,108.61,27169
2020-11-03,109.08,111.42,108.66,110.23,23240
2020-11-04,110.21,115.99,110.21,115.46,32544
2020-11-05,115.95,119.56,114.95,119.2,26244
2020-11-06,117.77,119.16,116.1,118.55,24862
2020-11-09,118.42,121.95,116.31,116.69,32807
2020-11-10,116.79,117.55,113.99,116.02,31030
2020-11-11,116.01,119.69,115.99,119.54,22257
2020-11-12,118.67,120.48,118.53,119.22,23559
2020-11-13,118.95,120.09,117.84,119.22,18783
2020-11-16,119.72,120.95,118.15,120.35,20416
2020-11-17,119.83,120.63,118.61,119.36,17403
2020-11-18,119.37,119.86,117.71,117.93,20737
2020-11-19,117.95,118.95,116.78,118.45,19037
2020-11-20,118.45,118.92,101.0,117.35,16165
2020-11-23,117.38,117.85,113.75,114.02,13768
2020-11-24,114.03,115.81,112.56,115.1,15087
2020-11-25,115.07,116.71,113.88,116.12,14802
2020-11-26,116.2,116.29,116.07,116.23,205
2020-11-27,116.5,117.45,116.0,116.38,7138
2020-11-30,116.38,120.92,116.16,119.89,19097
2020-12-01,119.83,123.43,118.2,122.82,18659
2020-12-02,122.84,123.33,120.86,123.14,17564
2020-12-03,123.15,123.86,122.2,122.8,14583
2020-12-04,122.78,123.3,121.5,122.02,12519
2020-12-07,122.0,124.53,109.99,123.5,23363
2020-12-08,123.51,124.94,122.59,124.24,27409
2020-12-09,124.23,125.9,106.99,121.42,32389
2020-12-10,121.45,123.83,120.0,123.21,35292
2020-12-11,123.2,123.28,120.39,122.25,25949
2020-12-14,122.28,123.3,120.4,121.79,14381
2020-12-15,121.79,127.98,121.74,127.68,18308
2020-12-16,127.69,128.63,126.53,127.69,16249
2020-12-17,127.69,129.55,126.99,128.56,12214
2020-12-18,128.56,129.32,126.09,126.99,15491
2020-12-21,120.39,129.99,109.99,129.97,42602
2020-12-22,129.87,134.37,125.99,131.69,60772
2020-12-23,131.67,132.75,130.2,130.89,33526
2020-12-24,130.85,133.41,130.63,131.83,19450
2020-12-28,131.95,137.3,126.0,137.01,30024
2020-12-29,137.04,138.78,132.99,135.09,37240
2020-12-30,134.99,135.98,133.0,133.67,28668
2020-12-31,133.67,134.71,131.69,132.55,39110
2021-01-04,133.53,134.42,126.77,129.36,33499
2021-01-05,129.36,131.69,128.3,130.89,32786
2021-01-06,130.9,131.38,126.44,127.05,45617
2021-01-07,127.1,131.3,126.62,130.6,36442
2021-01-08,130.62,132.83,130.24,132.09,40498
2021-01-11,131.26,131.67,128.49,128.95,35326
2021-01-12,128.95,129.93,126.83,128.95,33098
2021-01-13,128.91,131.4,128.25,130.77,32160
2021-01-14,130.78,131.25,128.87,128.95,28564
2021-01-15,128.95,130.2,126.88,126.92,32654
2021-01-19,128.78,128.98,126.9,128.1,28324
2021-01-20,128.05,132.44,127.75,132.22,28538
2021-01-21,132.24,137.27,132.04,137.27,33939
2021-01-22,137.22,139.81,135.01,139.37,37438
2021-01-25,142.0,145.06,136.55,143.49,27627
2021-01-26,143.47,144.98,141.34,144.25,21584
2021-01-27,144.13,145.02,136.99,141.76,32169
2021-01-28,141.75,143.06,136.01,136.93,32384
2021-01-29,137.01,137.53,130.18,131.95,28029
2021-02-01,134.52,135.34,131.12,133.94,42129
2021-02-02,133.99,136.44,133.91,135.05,35459
2021-02-03,135.02,135.89,133.58,134.09,35258
2021-02-04,134.1,137.96,133.91,137.19,47378
2021-02-05,137.18,138.15,135.83,136.5,32758
2021-02-08,136.95,136.96,134.93,136.7,29253
2021-02-09,136.68,137.83,135.99,136.23,27188
2021-02-10,136.2,136.97,134.38,135.19,29857
2021-02-11,135.2,136.36,133.74,134.96,26828
2021-02-12,134.95,135.42,133.66,135.29,23862
2021-02-16,135.81,136.35,132.78,132.95,28266
2021-02-17,132.95,133.18,129.44,130.83,37534
2021-02-18,130.8,130.89,127.4,129.28,34279
2021-02-19,129.32,130.76,128.78,129.67,30409
2021-02-22,127.82,129.71,125.57,126.1,19133
2021-02-23,126.1,126.67,118.37,125.22,29967
2021-02-24,125.23,127.46,122.2,125.0,24098
2021-02-25,125.1,126.45,120.51,120.59,27480
2021-02-26,120.67,124.72,119.74,121.87,30374
2021-03-01,123.93,128.63,122.78,128.26,37202
2021-03-02,128.33,128.71,125.0,125.1,40077
2021-03-03,125.11,126.2,121.84,122.01,42575
2021-03-04,122.05,123.58,118.59,119.75,50177
2021-03-05,119.63,121.64,117.55,121.24,52085
2021-03-08,119.16,121.0,116.09,116.48,43250
2021-03-09,116.51,122.0,116.33,121.04,47942
2021-03-10,121.0,122.13,119.42,120.06,44535
2021-03-11,120.02,123.19,119.84,121.88,38202
2021-03-12,121.89,122.32,119.12,120.99,36105
2021-03-15,121.61,124.14,120.72,124.14,37139
2021-03-16,124.16,127.17,123.95,125.49,43201
2021-03-17,125.49,125.85,122.31,124.5,44896
2021-03-18,124.52,124.94,120.32,120.6,45430
2021-03-19,120.61,121.54,119.64,119.99,40612
2021-03-22,120.74,123.86,120.66,123.1,26738
2021-03-23,123.09,124.2,122.14,122.64,33039
2021-03-24,122.53,123.35,119.98,120.06,32249
2021-03-25,120.08,121.61,118.8,120.47,38867
2021-03-26,120.45,121.35,118.9,121.16,33809
2021-03-29,120.51,122.56,120.51,121.3,18073
2021-03-30,121.29,121.4,118.83,119.85,15095
2021-03-31,119.86,123.48,119.75,121.98,15074
2021-04-01,121.98,124.16,121.98,122.84,11059
2021-04-05,123.28,126.18,123.0,126.18,12978
2021-04-06,126.18,127.08,125.4,126.21,13713
2021-04-07,126.21,128.1,125.12,128.07,13191
2021-04-08,128.07,130.61,127.88,130.61,11143
2021-04-09,130.66,132.91,129.29,132.84,12733
2021-04-12,132.63,132.86,130.6,131.32,19722
2021-04-13,131.31,134.62,130.61,134.45,23315
2021-04-14,134.44,135.29,131.62,132.1,25777
2021-04-15,132.11,134.94,132.04,134.19,24025
2021-04-16,134.25,134.89,133.27,134.01,20696
2021-04-19,134.24,135.43,133.32,134.75,14305
2021-04-20,134.78,135.49,131.78,132.54,15719
2021-04-21,132.5,133.63,131.29,133.19,12791
2021-04-22,133.19,134.1,131.38,131.89,14825
2021-04-23,131.91,135.08,131.83,134.18,10704
2021-04-26,133.91,135.02,133.53,134.72,19132
2021-04-27,134.71,135.74,134.09,134.44,20865
2021-04-28,134.47,139.46,133.05,137.93,31482
2021-04-29,137.86,138.21,132.43,133.1,45765
2021-04-30,133.08,133.52,131.34,131.54,27592
2021-05-03,131.6,134.02,131.52,132.39,20393
2021-05-04,132.37,132.53,126.67,127.66,30146
2021-05-05,127.68,130.4,127.49,127.94,28247
2021-05-06,127.93,129.74,127.11,129.6,26990
2021-05-07,129.6,131.97,129.44,130.32,26734
2021-05-10,129.9,130.16,126.3,126.44,14443
2021-05-11,126.49,126.79,122.76,125.65,22893
2021-05-12,125.65,125.81,122.22,122.4,22096
2021-05-13,122.38,126.1,121.75,124.76,22415
2021-05-14,124.75,127.69,124.75,127.5,13098
2021-05-17,126.82,127.25,125.14,126.14,22594
2021-05-18,126.13,127.52,124.54,124.65,21017
2021-05-19,124.59,124.88,122.84,124.6,30899
2021-05-20,124.6,127.68,124.01,127.31,22010
2021-05-21,127.3,127.97,125.3,125.36,22170
2021-05-24,125.89,127.9,125.43,127.03,16329
2021-05-25,127.03,128.3,126.29,126.89,19287
2021-05-26,126.89,127.45,126.39,126.81,15966
2021-05-27,126.8,127.6,125.57,125.79,19255
2021-05-28,125.79,126.25,124.51,124.54,19574
2021-06-01,125.11,125.55,123.92,124.16,8889
2021-06-02,124.18,125.2,123.9,124.95,9559
2021-06-03,124.95,125.08,123.09,123.47,12944
2021-06-04,123.47,126.12,123.3,125.97,8965
2021-06-07,125.18,126.45,124.81,125.99,18820
2021-06-08,125.98,128.44,125.7,126.64,21351
2021-06-09,126.65,127.72,126.51,126.96,16974
2021-06-10,126.95,128.13,125.94,126.13,20366
2021-06-11,126.1,127.4,126.03,127.19,15759
2021-06-14,127.43,130.42,127.04,130.32,9400
2021-06-15,130.32,130.63,129.37,129.72,9224
2021-06-16,129.72,130.85,128.46,129.77,11609
2021-06-17,129.78,132.51,128.84,131.78,13543
2021-06-18,131.78,132.01,130.22,130.23,14245
2021-06-21,130.49,132.37,129.18,132.22,18419
2021-06-22,132.26,134.07,131.5,133.97,23755
2021-06-23,133.97,134.3,133.19,133.5,22412
2021-06-24,133.6,134.68,132.9,133.35,17252
2021-06-25,133.33,133.84,132.77,133.04,18841
2021-06-28,133.07,135.19,132.98,134.59,7035
2021-06-29,134.58,136.44,134.18,136.38,7285
2021-06-30,136.39,137.33,135.48,136.9,7535
2021-07-01,136.9,137.3,135.73,137.25,7604
2021-07-02,137.25,139.88,136.89,139.85,7878
2021-07-06,139.51,143.1,139.41,141.86,21785
2021-07-07,141.88,144.85,141.85,144.68,24711
2021-07-08,144.62,144.75,140.65,143.23,36847
2021-07-09,143.24,145.59,142.58,145.01,24958
2021-07-12,145.41,146.28,143.98,144.5,19697
2021-07-13,144.5,147.41,143.37,145.58,23347
2021-07-14,145.55,149.52,145.33,149.24,28302
2021-07-15,149.24,149.98,147.06,148.26,27964
2021-07-16,148.25,149.73,145.87,146.09,23534
2021-07-19,145.66,145.67,141.63,143.02,34547
2021-07-20,142.96,147.04,142.46,146.04,25410
2021-07-21,146.06,146.43,144.63,145.33,19748
2021-07-22,145.34,148.15,145.24,146.99,20072
2021-07-23,147.08,148.68,146.69,148.32,18031
2021-07-26,147.4,149.79,147.4,149.19,18767
2021-07-27,149.15,149.49,145.08,145.49,31800
2021-07-28,145.28,146.9,142.48,145.17,46101
2021-07-29,145.05,146.53,144.4,144.81,21383
2021-07-30,144.8,146.29,144.02,145.86,21297
2021-08-02,146.59,146.96,145.23,145.29,18235
2021-08-03,145.3,147.99,145.16,147.28,19708
2021-08-04,147.29,147.76,146.24,146.79,19168
2021-08-05,146.79,147.8,146.13,146.92,15295
2021-08-06,146.92,147.07,145.6,145.98,17065
2021-08-09,145.99,146.68,145.48,146.0,14250
2021-08-10,146.02,147.66,145.27,145.54,16544
2021-08-11,145.58,146.69,144.8,145.65,17944
2021-08-12,145.64,149.0,145.53,148.98,16097
2021-08-13,148.97,149.4,148.25,148.98,16655
2021-08-16,148.77,151.49,146.44,151.38,21108
2021-08-17,151.3,151.66,149.06,149.92,27979
2021-08-18,149.88,150.67,145.91,146.21,24912
2021-08-19,146.22,147.96,144.19,146.66,31848
2021-08-20,146.63,148.46,146.0,148.03,20171
2021-08-23,148.6,150.15,147.87,149.65,15622
2021-08-24,149.63,150.83,149.12,149.61,16860
2021-08-25,149.62,150.28,147.77,148.34,16257
2021-08-26,148.34,149.09,147.48,147.54,18269
2021-08-27,147.53,148.71,146.8,148.44,16712
2021-08-30,148.6,153.44,148.58,152.94,17019
2021-08-31,152.94,153.68,151.27,151.84,23988
2021-09-01,151.83,154.93,151.75,152.53,22670
2021-09-02,152.53,154.7,152.38,153.68,21923
2021-09-03,153.68,154.59,153.06,154.17,19259
2021-09-07,154.63,157.22,154.13,156.55,13229
2021-09-08,156.55,157.07,153.97,155.05,14750
2021-09-09,155.05,156.09,154.05,154.3,12794
